binomial2,freq
Ammospermophilus_leucurus,98
Antrozous_pallidus,118
Aplodontia_rufa,117
Callospermophilus_lateralis,887
Canis_latrans,343
Canis_lupus,84
Castor_canadensis,225
Chaetodipus_baileyi,1403
Chaetodipus_formosus,566
Chaetodipus_intermedius,612
Chaetodipus_penicillatus,2363
Cratogeomys_castanops,486
Cryptotis_parva,153
Cynomys_ludovicianus,47
Didelphis_virginiana,70
Dipodomys_agilis,529
Dipodomys_merriami,4685
Dipodomys_ordii,2424
Eptesicus_fuscus,501
Geomys_bursarius,123
Ictidomys_tridecemlineatus,526
Lontra_canadensis,154
Lynx_rufus,90
Marmota_flaviventris,100
Marmota_monax,40
Martes_americana,88
Mephitis_mephitis,50
Microtus_californicus,1098
Microtus_longicaudus,1488
Microtus_montanus,487
Microtus_ochrogaster,1538
Microtus_oregoni,720
Microtus_pennsylvanicus,1991
Microtus_pinetorum,391
Microtus_townsendii,161
Mus_musculus,3876
Mustela_erminea,165
Mustela_frenata,113
Myodes_californicus,274
Myodes_gapperi,5824
Myotis_californicus,214
Myotis_lucifugus,161
Myotis_velifer,209
Myotis_volans,126
Myotis_yumanensis,175
Napaeozapus_insignis,1749
Neotoma_albigula,1934
Neotoma_lepida,426
Neotoma_mexicana,228
Neotoma_micropus,286
Neovison_vison,94
Neurotrichus_gibbsii,937
Ochotona_princeps,597
Odocoileus_virginianus,576
Ondatra_zibethicus,62
Perognathus_flavus,949
Perognathus_longimembris,355
Perognathus_parvus,2157
Peromyscus_boylii,3720
Peromyscus_crinitus,439
Peromyscus_eremicus,1216
Peromyscus_leucopus,19330
Peromyscus_maniculatus,36557
Peromyscus_truei,2702
Phenacomys_intermedius,99
Procyon_lotor,442
Puma_concolor,43
Reithrodontomys_fulvescens,832
Reithrodontomys_megalotis,2433
Scapanus_orarius,89
Sciurus_carolinensis,247
Sciurus_griseus,69
Sciurus_niger,241
Sigmodon_arizonae,95
Sigmodon_hispidus,4438
Sorex_cinereus,1211
Sorex_monticolus,2313
Sorex_pacificus,728
Sorex_sonomae,440
Sorex_trowbridgii,4107
Sorex_vagrans,1227
Sylvilagus_audubonii,131
Sylvilagus_floridanus,147
Tamias_amoenus,1266
Tamias_minimus,1107
Tamias_ruficaudus,68
Tamias_striatus,1926
Tamias_townsendii,1049
Tamias_umbrinus,245
Tamiasciurus_douglasii,493
Tamiasciurus_hudsonicus,623
Taxidea_taxus,51
Thomomys_bottae,952
Thomomys_talpoides,521
Urocitellus_elegans,186
Urocyon_cinereoargenteus,64
Vulpes_macrotis,77
Vulpes_vulpes,64
Zapus_hudsonius,937
Zapus_princeps,883
Zapus_trinotatus,485
